Published Date,Date,Stock dated one day after ,Stock dated after hold period ,Stock rate (one day after),Stock rate (after hold period),Net profit or loss,index
2022-12-09T08:00:00Z,2022-12-09,"6,496.05 (12 december 2022)","5,993.80 (9 january 2023)","6,496.05","5,993.80",-502.25,73
2022-12-09T08:00:00Z,2022-12-09,(12 december 2022),(9 april 2023),"2,726.80","2,816.75",89.95,74
2022-12-14T08:00:00Z,2022-12-14,625.00 (15 december 2022),576.40 (13 june 2023),625,576.4,-48.6,75
2022-12-17,2022-12-17,422.40 (19 december 2022),569.55 (16 june 2023),422.4,569.55,147.15,76
2022-12-17,2022-12-17,"2,671.00 (19 december 2022)","2,463.20 (21 march 2023)","2,671.00","2,463.20",-207.80,77
2022-12-20,2022-12-20,412.00 (21 december 2022),468.95 (19 june 2023),412,468.95,56.95,78
2022-12-20T08:00:00Z,2022-12-20,(21 december 2022),(21 march 2023),77.55,79.51,1.96,79
2022-12-21T08:00:00Z,2022-12-21,335.00 (22 december 2022),337.60 (23 january 2023),335,337.6,2.6,80
2022-12-23,2022-12-23,"1,591.00 (26 december 2022)","1,561.75 (24 march 2023)","1,591.00","1,561.75",-29.25,81
2023-01-01T08:00:00Z,2023-01-01,(2 january 2023),(2 april 2023),768.1,682.2,-85.9,82
2023-01-10,2023-01-10,"3,289.00 (11 january 2023)","3,281.50 (11 may 2023)","3,289.00","3,281.50",-7.50,83
2023-01-11,2023-01-11,"2,586.00 (12 january 2023)","2,452.90 (13 march 2023)","2,586.00","2,452.90",-133.10,84
2023-01-15,2023-01-15,412.60 (16 january 2023),471.90 (17 april 2023),412.6,471.9,59.3,85
2023-01-17T08:00:00Z,2023-01-17,"1,111.00 (18 january 2023)","1,153.65 (17 july 2023)","1,111.00","1,153.65",42.65,86
2023-01-18T08:00:00Z,2023-01-18,(19 january 2023),(20 march 2023),"2,088.85",848.75,"-1,240.10",87
2023-01-19T08:00:00Z,2023-01-19,(20 january 2023),(22 april 2023),170.1,174.05,3.95,88
2023-01-19T08:00:00Z,2023-01-19,(20 january 2023),(19 july 2023),"1,320.20","1,543.70",223.50,89
2023-01-20T08:00:00Z,2023-01-20,"1,534.00 (23 january 2023)","1,227.45 (21 april 2023)","1,534.00","1,227.45",-306.55,90
2023-01-22T08:00:00Z,2023-01-22,"3,454.75 (23 janury 2023)","2,418.35 (24 july 2023)","3,454.75","2,418.35","-1,036.40",91
2023-02-28,2023-02-28,"3,326.50 (1 march 2023)","3,375.00 (28 august 2023)","3,326.50","3,375.00",48.50,92
2023-03-07T08:00:00Z,2023-03-07,"2,143.05 (8 march 2023)","2,277.40 (6 june 2023)","2,143.05","2,277.40",134.35,93
2023-05-15,2023-05-15,"3,262.00 (16 may 2023)","3,449.85 (14 august 2023)","3,262.00","3,449.85",187.85,94
2023-06-08T07:00:00Z,2023-06-08,836.05 (9 june 2023),885.85 (10 july 2023),836.05,885.85,49.8,95
2023-07-31T07:00:00Z,2023-07-31,890.65 (1 august 2023),884.85 (8 august 2023),890.65,884.85,-5.8,96
2023-08-12,2023-08-12,"2,533.05 (14 august 2023)",(11 september 2023),"2,533.05","2,474.40",-58.65,97
